DATE,ATM,Cash
2009-05-01,ATM1,96
2009-05-01,ATM2,107
2009-05-02,ATM1,82
2009-05-02,ATM2,89
2009-05-03,ATM1,85
2009-05-03,ATM2,90
2009-05-04,ATM1,90
2009-05-04,ATM2,55
2009-05-05,ATM1,99
2009-05-05,ATM2,79
2009-05-06,ATM1,88
2009-05-06,ATM2,19
2009-05-07,ATM1,8
2009-05-07,ATM2,2
2009-05-08,ATM1,104
2009-05-08,ATM2,103
2009-05-09,ATM1,87
2009-05-09,ATM2,107
2009-05-10,ATM1,93
2009-05-10,ATM2,118
2009-05-11,ATM1,86
2009-05-11,ATM2,75
2009-05-12,ATM1,111
2009-05-12,ATM2,111
2009-05-13,ATM1,75
2009-05-13,ATM2,25
2009-05-14,ATM1,6
2009-05-14,ATM2,16
2009-05-15,ATM1,102
2009-05-15,ATM2,137
2009-05-16,ATM1,73
2009-05-16,ATM2,95
2009-05-17,ATM1,92
2009-05-17,ATM2,103
2009-05-18,ATM1,82
2009-05-18,ATM2,80
2009-05-19,ATM1,86
2009-05-19,ATM2,118
2009-05-20,ATM1,73
2009-05-20,ATM2,30
2009-05-21,ATM1,20
2009-05-21,ATM2,7
2009-05-22,ATM1,100
2009-05-22,ATM2,118
2009-05-23,ATM1,93
2009-05-23,ATM2,104
2009-05-24,ATM1,90
2009-05-24,ATM2,59
2009-05-25,ATM1,94
2009-05-25,ATM2,40
2009-05-26,ATM1,98
2009-05-26,ATM2,106
2009-05-27,ATM1,73
2009-05-27,ATM2,18
2009-05-28,ATM1,10
2009-05-28,ATM2,9
2009-05-29,ATM1,97
2009-05-29,ATM2,136
2009-05-30,ATM1,102
2009-05-30,ATM2,118
2009-05-31,ATM1,85
2009-05-31,ATM2,64
2009-06-01,ATM1,85
2009-06-01,ATM2,77
2009-06-02,ATM1,108
2009-06-02,ATM2,133
2009-06-03,ATM1,94
2009-06-03,ATM2,45
2009-06-04,ATM1,14
2009-06-04,ATM2,14
2009-06-05,ATM1,3
2009-06-05,ATM2,20
2009-06-06,ATM1,96
2009-06-06,ATM2,147
2009-06-07,ATM1,109
2009-06-07,ATM2,105
2009-06-08,ATM1,96
2009-06-08,ATM2,132
2009-06-09,ATM1,145
2009-06-09,ATM2,93
2009-06-10,ATM1,81
2009-06-10,ATM2,26
2009-06-11,ATM1,16
2009-06-11,ATM2,7
2009-06-12,ATM1,142
2009-06-12,ATM2,112
2009-06-13,ATM1,
2009-06-13,ATM2,91
2009-06-14,ATM1,120
2009-06-14,ATM2,72
2009-06-15,ATM1,106
2009-06-15,ATM2,66
2009-06-16,ATM1,
2009-06-16,ATM2,82
2009-06-17,ATM1,108
2009-06-17,ATM2,24
2009-06-18,ATM1,21
2009-06-18,ATM2,
2009-06-19,ATM1,140
2009-06-19,ATM2,134
2009-06-20,ATM1,110
2009-06-20,ATM2,95
2009-06-21,ATM1,115
2009-06-21,ATM2,82
2009-06-22,ATM1,
2009-06-22,ATM2,90
2009-06-23,ATM1,108
2009-06-23,ATM2,99
2009-06-24,ATM1,66
2009-06-24,ATM2,
2009-06-25,ATM1,13
2009-06-25,ATM2,3
2009-06-26,ATM1,99
2009-06-26,ATM2,117
2009-06-27,ATM1,105
2009-06-27,ATM2,53
2009-06-28,ATM1,104
2009-06-28,ATM2,44
2009-06-29,ATM1,98
2009-06-29,ATM2,56
2009-06-30,ATM1,110
2009-06-30,ATM2,110
2009-07-01,ATM1,79
2009-07-01,ATM2,36
2009-07-02,ATM1,16
2009-07-02,ATM2,12
2009-07-03,ATM1,110
2009-07-03,ATM2,128
2009-07-04,ATM1,96
2009-07-04,ATM2,72
2009-07-05,ATM1,114
2009-07-05,ATM2,122
2009-07-06,ATM1,126
2009-07-06,ATM2,100
2009-07-07,ATM1,126
2009-07-07,ATM2,108
2009-07-08,ATM1,73
2009-07-08,ATM2,25
2009-07-09,ATM1,4
2009-07-09,ATM2,6
2009-07-10,ATM1,19
2009-07-10,ATM2,22
2009-07-11,ATM1,114
2009-07-11,ATM2,135
2009-07-12,ATM1,98
2009-07-12,ATM2,69
2009-07-13,ATM1,97
2009-07-13,ATM2,52
2009-07-14,ATM1,114
2009-07-14,ATM2,81
2009-07-15,ATM1,78
2009-07-15,ATM2,27
2009-07-16,ATM1,19
2009-07-16,ATM2,4
2009-07-17,ATM1,102
2009-07-17,ATM2,147
2009-07-18,ATM1,94
2009-07-18,ATM2,102
2009-07-19,ATM1,108
2009-07-19,ATM2,83
2009-07-20,ATM1,91
2009-07-20,ATM2,55
2009-07-21,ATM1,86
2009-07-21,ATM2,74
2009-07-22,ATM1,78
2009-07-22,ATM2,22
2009-07-23,ATM1,16
2009-07-23,ATM2,4
2009-07-24,ATM1,114
2009-07-24,ATM2,104
2009-07-25,ATM1,115
2009-07-25,ATM2,81
2009-07-26,ATM1,108
2009-07-26,ATM2,61
2009-07-27,ATM1,102
2009-07-27,ATM2,70
2009-07-28,ATM1,129
2009-07-28,ATM2,126
2009-07-29,ATM1,79
2009-07-29,ATM2,33
2009-07-30,ATM1,13
2009-07-30,ATM2,7
2009-07-31,ATM1,103
2009-07-31,ATM2,126
2009-08-01,ATM1,90
2009-08-01,ATM2,92
2009-08-02,ATM1,68
2009-08-02,ATM2,81
2009-08-03,ATM1,85
2009-08-03,ATM2,49
2009-08-04,ATM1,99
2009-08-04,ATM2,146
2009-08-05,ATM1,86
2009-08-05,ATM2,79
2009-08-06,ATM1,13
2009-08-06,ATM2,37
2009-08-07,ATM1,116
2009-08-07,ATM2,136
2009-08-08,ATM1,105
2009-08-08,ATM2,111
2009-08-09,ATM1,123
2009-08-09,ATM2,78
2009-08-10,ATM1,114
2009-08-10,ATM2,57
2009-08-11,ATM1,127
2009-08-11,ATM2,106
2009-08-12,ATM1,111
2009-08-12,ATM2,38
2009-08-13,ATM1,34
2009-08-13,ATM2,15
2009-08-14,ATM1,151
2009-08-14,ATM2,119
2009-08-15,ATM1,110
2009-08-15,ATM2,110
2009-08-16,ATM1,115
2009-08-16,ATM2,68
2009-08-17,ATM1,112
2009-08-17,ATM2,60
2009-08-18,ATM1,132
2009-08-18,ATM2,92
2009-08-19,ATM1,94
2009-08-19,ATM2,22
2009-08-20,ATM1,24
2009-08-20,ATM2,11
2009-08-21,ATM1,122
2009-08-21,ATM2,121
2009-08-22,ATM1,104
2009-08-22,ATM2,89
2009-08-23,ATM1,128
2009-08-23,ATM2,62
2009-08-24,ATM1,120
2009-08-24,ATM2,79
2009-08-25,ATM1,174
